aX,aY,aZ,gX,gY,gZ
0.873,0.566,1.111,17.944,62.317,-111.023
0.889,0.579,1.036,15.991,64.819,-120.911
0.927,0.595,0.987,-1.526,60.364,-154.114
0.843,0.272,1.156,0.916,63.416,-166.016
0.801,0.214,1.113,-12.695,103.577,-158.630
0.787,0.129,0.813,-16.907,111.877,-156.128
0.751,0.024,0.709,-3.662,90.332,-150.085
0.668,-0.168,0.656,5.432,72.021,-143.982
0.636,-0.211,0.705,13.611,54.810,-133.362
0.684,-0.159,0.772,10.681,62.378,-131.653
0.685,-0.220,0.829,-1.648,81.970,-129.639
0.572,-0.433,0.871,-6.165,82.214,-117.432
0.572,-0.379,0.911,-9.277,59.814,-88.928
0.609,-0.367,0.987,-4.089,54.016,-86.182
0.634,-0.408,1.018,-6.226,66.223,-89.050
0.589,-0.544,1.102,-4.639,76.050,-87.708
0.561,-0.615,1.146,22.888,79.834,-76.050
0.476,-0.681,1.331,42.725,77.209,-68.909
0.381,-0.739,1.268,64.392,100.220,-54.932
0.314,-0.817,1.050,47.058,114.136,-42.175
0.264,-0.860,1.167,23.560,122.498,-10.681
0.120,-0.896,1.142,33.264,130.798,7.080
0.052,-0.871,1.004,47.424,138.367,25.879
-0.023,-0.833,0.870,76.050,136.963,62.988
-0.110,-0.732,0.543,90.332,128.540,80.322
-0.103,-0.557,0.429,100.647,99.915,112.000
-0.114,-0.467,0.447,98.267,88.989,127.502
-0.176,-0.357,0.371,101.501,80.811,149.231
-0.226,-0.367,0.328,103.882,79.834,158.630
-0.272,-0.369,0.248,112.427,89.416,189.941
-0.413,-0.289,-0.161,119.141,94.421,210.876
-0.463,-0.212,-0.407,115.234,80.017,255.066
-0.430,0.182,-0.784,97.412,64.026,273.926
-0.368,0.444,-0.758,55.542,25.818,283.264
-0.339,0.586,-0.619,57.922,3.235,269.409
-0.352,0.552,-0.613,68.420,-53.589,251.953
-0.276,0.699,-0.324,70.496,-84.717,257.324
-0.237,0.803,-0.168,104.736,-127.075,259.277
-0.132,0.970,-0.310,113.037,-133.484,253.052
-0.072,1.119,-0.387,79.041,-142.212,243.835
0.058,1.626,-0.238,63.477,-152.832,233.887
0.108,1.754,0.060,71.899,-186.035,173.035
0.110,1.411,0.638,96.191,-192.139,134.583
0.070,1.160,0.659,123.413,-178.345,100.525
