aX,aY,aZ,gX,gY,gZ
-0.327,1.995,2.325,-33.447,-27.893,0.122
-0.387,2.394,2.499,-96.436,-7.812,-32.837
-0.403,2.351,2.725,-161.682,-13.184,-95.337
-0.452,2.120,2.995,-158.569,4.639,-117.004
-0.449,1.962,2.795,-127.808,66.711,-155.518
-0.406,1.357,2.089,-134.155,83.008,-173.950
-0.375,1.062,1.754,-158.936,84.900,-183.594
-0.253,0.712,1.061,-158.752,83.557,-181.824
-0.174,0.444,0.685,-159.485,74.707,-189.636
-0.098,-0.023,0.261,-159.302,65.369,-184.937
-0.095,-0.072,0.089,-137.390,49.927,-161.438
-0.148,-0.109,-0.010,-130.676,32.776,-153.503
-0.138,-0.175,0.125,-98.267,11.475,-144.287
-0.089,-0.408,-0.087,-67.078,21.301,-137.451
-0.050,-0.438,-0.340,-22.400,11.841,-113.342
-0.044,-0.486,-0.031,-16.357,-30.945,-94.604
-0.092,-0.349,0.414,-5.737,-21.179,-79.041
-0.112,-0.173,0.304,8.972,11.658,-62.683
-0.074,-0.079,0.088,5.310,10.803,-66.040
-0.006,-0.138,0.036,12.329,-0.977,-65.186
0.045,-0.123,0.002,24.292,-7.019,-48.584
0.043,0.072,0.010,46.204,-7.141,-25.696
0.045,0.148,-0.188,53.589,-0.732,-31.128
0.066,0.082,-0.373,54.016,-5.005,-35.889
0.088,-0.034,-0.461,44.189,-20.935,-33.386
0.055,-0.075,-0.379,41.626,-43.640,-21.973
-0.014,-0.064,-0.360,44.922,-47.913,-15.564
-0.032,-0.029,-0.368,40.833,-63.782,-9.216
-0.056,0.061,-0.348,39.978,-72.998,-8.911
-0.051,0.095,-0.307,49.744,-95.581,-11.902
-0.008,0.066,-0.083,60.364,-105.835,-13.733
-0.018,0.063,0.024,93.201,-114.075,-10.193
-0.016,0.201,0.230,114.868,-115.356,-8.301
-0.009,0.274,0.228,136.353,-118.042,-14.404
0.039,0.379,0.363,135.315,-128.418,-21.484
0.134,0.375,0.621,141.174,-147.034,-34.607
0.356,0.506,1.113,146.362,-144.958,-36.133
0.410,0.654,1.334,145.142,-134.521,-45.044
0.482,0.731,1.772,140.076,-125.610,-56.885
0.523,0.624,2.010,143.860,-103.271,-75.500
0.631,0.486,2.424,153.381,-85.815,-76.843
0.662,0.399,2.468,152.649,-66.040,-78.979
0.638,-0.002,3.124,77.637,-68.176,-88.989
0.644,-0.049,3.469,46.143,-62.256,-80.994
0.705,0.113,2.921,70.190,25.574,-55.725
0.740,0.051,2.540,67.749,55.237,-54.138
0.767,-0.046,2.322,31.860,67.932,-44.617
0.787,-0.069,1.962,24.292,74.036,-33.142
0.767,-0.082,1.779,12.207,78.918,-12.878
0.653,0.009,1.437,5.310,77.087,-1.465
0.571,0.139,1.280,-13.733,66.467,13.855
0.419,0.268,1.221,-30.884,59.387,13.000
0.383,0.248,1.133,-46.875,66.895,7.996
0.381,0.212,0.745,-43.457,69.397,6.897
0.395,0.212,0.684,-41.199,54.260,3.845
0.450,0.151,0.631,-40.588,48.401,0.793
0.490,0.077,0.626,-42.297,36.499,-3.967
0.589,-0.108,0.670,-41.077,33.569,-5.432
0.661,-0.281,0.631,-20.569,33.569,-7.385
0.838,-0.735,0.653,-5.066,31.067,-3.540
0.906,-1.079,0.693,-2.441,25.208,10.559
0.909,-1.781,1.009,-18.066,20.325,28.137
0.873,-2.009,1.164,-31.799,35.400,82.336
0.713,-2.251,0.906,-20.264,53.833,116.821
0.542,-2.094,0.659,-9.705,66.345,205.261
-0.052,-0.884,0.446,-8.972,59.998,250.305
-0.385,-0.031,0.452,3.296,38.391,294.617
-0.824,1.305,0.495,6.775,28.381,285.645
-0.948,1.815,0.428,12.817,18.616,245.361
-1.000,2.734,0.519,14.038,8.423,215.210
-0.935,2.866,0.684,13.184,-0.427,171.997
-0.727,2.549,0.831,20.630,2.930,79.468
-0.603,2.231,0.867,22.949,7.690,41.077
-0.480,1.850,0.888,24.963,21.484,-15.625
-0.235,1.059,0.731,28.198,28.381,-32.898
-0.107,0.710,0.703,27.527,16.296,-48.950
0.137,0.229,0.862,24.353,8.423,-48.950
0.231,0.097,0.870,26.855,9.644,-39.795
0.410,0.008,0.755,30.396,10.437,-33.875
0.481,-0.029,0.724,27.222,3.906,-22.949
0.516,-0.014,0.757,22.766,-0.427,-14.587
0.504,0.043,0.798,15.930,-7.874,0.671
0.467,0.163,0.898,14.526,-8.606,5.066
0.453,0.203,0.906,14.648,-2.319,10.864
0.420,0.322,0.857,12.390,-1.221,14.587
0.401,0.405,0.849,7.935,-3.357,17.395
0.351,0.471,0.901,-6.348,-12.817,13.977
0.334,0.455,0.967,-11.292,-16.846,10.559
0.348,0.444,1.016,-5.676,-11.963,8.362
0.370,0.426,0.948,1.343,-3.906,7.080
0.388,0.396,0.870,9.644,3.235,2.625
0.415,0.373,0.807,10.132,2.380,1.282
0.427,0.340,0.785,2.808,1.282,-2.319
0.426,0.265,0.804,1.160,-0.916,-1.892
0.417,0.271,0.842,2.563,-2.075,3.418
0.388,0.315,0.880,3.479,-0.122,5.188
0.376,0.339,0.882,6.714,5.127,6.836
0.365,0.383,0.862,4.211,6.714,6.836
0.364,0.385,0.870,-1.099,7.629,3.296
0.347,0.344,0.869,3.113,9.827,2.319
0.343,0.366,0.856,12.085,11.780,4.761
0.364,0.410,0.867,12.207,11.108,3.784
0.376,0.400,0.858,7.874,12.329,0.671
0.379,0.396,0.816,3.967,12.329,0.244
0.373,0.392,0.816,0.183,8.606,-0.549
0.381,0.403,0.850,2.014,7.751,-0.366
0.390,0.388,0.831,4.272,8.667,-1.831
0.385,0.355,0.833,1.648,5.737,-1.343
0.380,0.377,0.891,-6.104,1.038,-0.488
0.384,0.363,0.895,-4.944,4.639,-1.282
0.387,0.388,0.851,-0.366,8.911,0.916
0.402,0.404,0.865,-3.601,7.019,-0.977
0.408,0.368,0.887,-7.385,6.409,-3.479
0.425,0.391,0.862,-3.052,11.353,-0.671
0.441,0.412,0.842,0.244,13.367,0.732
0.455,0.416,0.840,0.305,11.902,-0.366
0.469,0.442,0.865,-2.075,10.437,-2.197
-0.011,1.401,1.729,-6.958,-58.777,42.847
-0.080,1.603,2.034,-72.815,-33.508,5.981
-0.060,1.944,2.108,-79.529,-4.517,-20.691
-0.008,1.907,1.893,-75.500,32.471,-84.167
0.021,1.782,1.936,-88.257,23.682,-102.966
0.011,1.800,2.171,-126.587,21.667,-127.441
-0.026,1.625,2.216,-137.817,42.480,-143.127
-0.059,1.554,2.006,-130.432,87.402,-163.269
-0.133,1.235,1.393,-118.896,101.440,-176.208
